id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm238829,Open Season: Scared Silly,MOVIE,2015,PG,84,"['action', 'animation', 'comedy', 'family']","['CA', 'US']",,,,,24.391,5.9
tm233196,Jessica Darling's It List,MOVIE,2016,,79,['family'],['US'],,tt5213744,5.4,994,9.284,6
tm246056,Garfunkel and Oates: Trying to be Special,MOVIE,2016,,62,"['comedy', 'music']",['US'],,tt5602318,7.3,919,3.186,7.4
tm311494,Slam,MOVIE,2016,,100,"['comedy', 'romance', 'drama', 'european']",['IT'],,tt4379536,6.1,1329,11.308,5.8
tm244635,The Blind Christ,MOVIE,2016,R,95,['drama'],"['FR', 'CL']",,tt4778424,5.8,275,6.235,4.9
tm227044,Shaandaar,MOVIE,2015,PG-13,144,"['comedy', 'romance', 'drama']",['IN'],,tt4007558,3.6,5723,3.961,4.9
ts75897,Kulipari: An Army of Frogs,SHOW,2016,,23,"['action', 'animation', 'fantasy']",['US'],2,tt6040768,6.8,259,3.954,7.4
tm246579,Rainbow Time,MOVIE,2016,,91,"['drama', 'comedy']",['US'],,tt5167174,5.9,726,3.352,5.9
ts81898,Kazoops!,SHOW,2016,,13,"['animation', 'comedy', 'family', 'fantasy']","['AU', 'GB']",3,tt6312916,7.4,122,2.376,8
ts84398,Little Things,SHOW,2016,TV-MA,25,"['drama', 'romance', 'comedy']",['IN'],4,tt6522580,8.2,6542,6.822,7.8
tm244868,The Flower of Aleppo,MOVIE,2016,,100,"['drama', 'action', 'war']",['TN'],,tt5448246,5.4,128,1.4,6.2
tm245155,The Worthy,MOVIE,2016,,95,"['thriller', 'action', 'scifi', 'fantasy', 'family', 'european']",['AE'],,tt4943218,5.1,2004,5.348,4.8
ts52825,The Princess Weiyoung,SHOW,2016,TV-14,45,"['drama', 'history', 'romance']",['CN'],1,tt6353308,7.7,800,10.875,7.2
ts54022,Terrace House: Aloha State,SHOW,2016,,36,"['reality', 'drama']",['JP'],4,tt6588218,7.4,997,6.928,7.9
tm245293,You Are My Sunday,MOVIE,2016,,119,"['drama', 'comedy']",['IN'],,tt4990516,7.7,1678,1.728,7
tm456667,Black,MOVIE,2015,,90,['action'],[],,tt7254796,4.3,74,0.6,
tm232832,The Lion Woman,MOVIE,2016,PG-13,126,"['drama', 'european']","['SE', 'NO']",,tt4677578,6.6,1410,17.587,6.9
ts51367,Trailer Park Boys: Out of the Park: Europe,SHOW,2016,TV-MA,28,"['action', 'drama', 'comedy', 'crime']",['CA'],2,tt5937754,7,2324,5.537,6.2
tm239933,7:19,MOVIE,2016,,94,"['history', 'thriller', 'drama']",['MX'],,tt5979312,5.8,649,8.11,6.4
ts53346,Chasing Cameron,SHOW,2016,TV-PG,28,['reality'],['US'],1,tt6370626,3.5,500,2.452,5.8
tm228657,Cosmos Laundromat,MOVIE,2015,,12,"['animation', 'comedy', 'fantasy', 'scifi']",['NL'],,,,,2.371,6.7
tm247644,Schubert in Love,MOVIE,2016,,94,"['comedy', 'european']",['DE'],,tt5186874,5,371,3.314,5.2
tm212968,Frank and Cindy,MOVIE,2015,,102,"['comedy', 'drama']",['US'],,tt1239242,6.1,863,2.311,5.4
tm211424,Dharam Sankat Mein,MOVIE,2015,PG-13,129,"['comedy', 'drama', 'family', 'fantasy', 'thriller']",['IN'],,tt4354740,6.3,2262,3.51,7
ts35505,Old Money,SHOW,2015,TV-MA,47,"['comedy', 'drama', 'european']",['AT'],1,tt3701442,7.3,503,2.488,6.3
ts78442,Coach Snoop,SHOW,2016,TV-MA,29,['documentation'],['US'],2,tt5697642,6.7,590,2.881,7.8
ts43258,Stories by Rabindranath Tagore,SHOW,2015,TV-PG,43,['drama'],['IN'],1,tt4853764,8.7,1323,3.572,8.8
tm230927,Puerto Ricans in Paris,MOVIE,2015,R,82,['comedy'],['US'],,tt3730510,5.3,1856,5.176,5.7
tm244577,Love O2O,MOVIE,2016,,105,"['comedy', 'romance', 'drama']",['CN'],,tt6093452,6.4,1039,7.811,6.9
tm227523,Fifty,MOVIE,2015,,101,"['drama', 'romance', 'sport', 'thriller']",['NG'],,tt7440582,6,265,2.484,5.3
ts82327,Три кота,SHOW,2015,TV-Y,5,"['animation', 'scifi', 'comedy', 'family']",['RU'],3,tt7038964,7,101,0.662,8
tm230426,"Liar, Liar, Vampire",MOVIE,2015,G,66,"['comedy', 'family']",['US'],,tt4448304,5.7,964,9.086,7.1
ts248736,The Governor,SHOW,2016,TV-14,45,['drama'],['NG'],1,tt7128052,7.3,103,,
tm240728,Patton Oswalt: Talking for Clapping,MOVIE,2016,,65,"['comedy', 'documentation']",['US'],,tt5457520,6.7,2001,3.337,6.6
tm283938,Selfie 69,MOVIE,2016,,116,"['comedy', 'action', 'romance', 'european']",['RO'],,tt4796634,6.1,1700,4.445,6.8
ts55966,LEGO Friends: The Power of Friendship,SHOW,2016,TV-Y,23,['animation'],['US'],2,tt7598452,6.7,54,7.272,7.7
tm236705,Ricardo O'Farrill: Abrazo Genial,MOVIE,2016,,92,['comedy'],['MX'],,tt5547496,5.5,117,1.481,5.2
tm244923,My Mother's Wound,MOVIE,2016,PG-13,120,"['drama', 'thriller', 'war']",['TR'],,tt5684860,7.3,3692,4.392,6.9
tm266622,Iliza Shlesinger: Confirmed Kills,MOVIE,2016,,77,['comedy'],['US'],,tt6081882,6.6,2880,5.957,6.4
tm134052,Umrika,MOVIE,2015,,98,"['comedy', 'drama']",['IN'],,tt2614722,6.6,1472,2.265,5.8
tm246543,Journey to Greenland,MOVIE,2016,,98,"['drama', 'comedy', 'european']","['GL', 'FR']",,tt4641248,6.3,1343,3.262,6.2
ts53065,One More Time,SHOW,2016,TV-14,31,"['scifi', 'drama', 'fantasy']",['KR'],1,tt6212990,6.8,582,3.778,7.2
tm272484,Michael Che Matters,MOVIE,2016,,60,['comedy'],['US'],,tt6209400,7.2,2657,3.242,6.8
tm252609,'76,MOVIE,2016,PG-13,118,"['romance', 'drama']",['NG'],,tt6068284,5.6,227,2.062,7.2
tm234064,Halal Love,MOVIE,2016,,95,"['romance', 'drama', 'comedy', 'european']","['LB', 'DE']",,tt5105218,6.3,382,1.352,5.8
tm240733,100 Meters,MOVIE,2016,,108,"['drama', 'comedy', 'european']",['ES'],,tt5089786,7.5,6248,8.137,7.5
tm230478,Brent Morin: I'm Brent Morin,MOVIE,2015,,67,['comedy'],['US'],,tt5280664,6.5,691,1.929,7.3
tm267419,Joe Rogan: Triggered,MOVIE,2016,,63,"['comedy', 'documentation']",['US'],,tt6023444,7.4,4547,3.272,6.7
tm232930,Kyaa Kool Hain Hum 3,MOVIE,2016,,124,['comedy'],['IN'],,tt5290620,1.9,4356,4.658,3.1
tm149212,Olmo and the Seagull,MOVIE,2015,,90,"['drama', 'european', 'romance', 'family', 'documentation']","['PT', 'SE', 'DK', 'BR', 'FR']",,tt4160256,7.2,676,2.034,7.1
tm243931,The Beginning of Life,MOVIE,2016,G,98,"['documentation', 'family']",['BR'],,tt5140248,7.5,940,1.134,7.7
